Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins	sample-01	sample-02	sample-03	sample-04	sample-05	sample-06	sample-07	sample-08	sample-09	sample-10	sample-11	sample-12	sample-13	sample-14	sample-15	sample-16	sample-17	sample-18
sp|P30405|PPIF_HUMAN	P30405	PPIF_HUMAN	PPIF	207	Homo sapiens	Peptidyl-prolyl cis-trans isomerase F, mitochondrial	1:Experimental evidence at protein level	22.22	1.0000	0.9985	8	6	6	18	15	15	773129216	379092136	773129216	1K(304.2071), 3M(15.9949), 7K(304.2071), 8K(304.2071), 9K(304.2071), N-term(304.2071)			4887729.8203	4453012.6562	5830477.6328	5386188.4453	5625036.7422	5503282.1484	5664602.1016	5710345.5625	4875195.8438	5895130.0234	6167810.3359	7218207.4375	5602129.6250	6175054.4844	5698438.7500	3368407.8789	2971243.9961	3171525.0000
sp|P30419|NMT1_HUMAN	P30419	NMT1_HUMAN	NMT1	496	Homo sapiens	Glycylpeptide N-tetradecanoyltransferase 1	1:Experimental evidence at protein level	20.56	1.0000	0.9990	8	6	6	20	17	17	600364216	600364216	600364216	13K(304.2071), 15K(304.2071), 1C(57.0214), 1K(304.2071), 20K(304.2071), 21K(304.2071), 2M(15.9949), 4M(15.9949), 7K(304.2071), 8K(304.2071), 9K(304.2071), N-term(304.2071), N-term(42.0106)			2790394.4258	2625230.8613	3442448.2949	3107477.5176	3121171.7812	3039428.4102	3264401.2617	3235048.7930	2729604.9023	3208288.1367	3427377.5605	4071915.8633	2988889.9043	3372149.0645	3131388.5371	2073748.3730	1755528.4121	1819048.6270
sp|P30519|HMOX2_HUMAN	P30519	HMOX2_HUMAN	HMOX2	316	Homo sapiens	Heme oxygenase 2	1:Experimental evidence at protein level	11.39	1.0000	0.9990	4	4	4	7	7	7	117123975	117123975	117123975	12K(304.2071), 2M(15.9949), 7K(304.2071), 8K(304.2071), 9K(304.2071), N-term(304.2071)			2649134.0000	2445854.7969	3182812.0625	3035777.7188	2970621.7812	3012049.1406	3102238.7969	3103208.2656	2601068.6406	3308784.1875	3428229.0469	4136632.6875	3159711.1875	3734708.5938	3413252.6406	3181883.5938	2885244.6875	3068067.0781
sp|P30520|PURA2_HUMAN	P30520	PURA2_HUMAN	ADSS	456	Homo sapiens	Adenylosuccinate synthetase isozyme 2	1:Experimental evidence at protein level	35.09	1.0000	0.9990	14	12	14	30	28	30	781855696	781855696	781855696	10K(304.2071), 11K(304.2071), 13C(57.0214), 15K(304.2071), 1K(304.2071), 2C(57.0214), 3M(15.9949), 4M(15.9949), 6M(15.9949), 7K(304.2071), 9K(304.2071), N-term(304.2071)			14832345.4902	13851449.3574	18194516.8086	17233874.1680	15857813.3691	16688367.3887	17613424.6855	17603496.2031	15114711.2422	17808015.0742	18593725.4082	22482863.3477	14137647.2012	18170039.1953	14973721.6543	14952920.7129	13202041.6445	14820323.4941
sp|P30533|AMRP_HUMAN	P30533	AMRP_HUMAN	LRPAP1	357	Homo sapiens	Alpha-2-macroglobulin receptor-associated protein	1:Experimental evidence at protein level	6.44	1.0000	0.9973	4	4	4	6	6	6	1503391760	1503391760	1503391760	7K(304.2071), N-term(304.2071)			11023004.6875	10883875.4062	13436844.5625	12249538.1250	12180995.3750	12162643.2812	12796074.4062	13265212.9688	10920544.4375	10743133.5312	11357812.6562	13924973.7500	12287840.1250	15782492.4375	13305667.0000	17009692.5000	15328992.3125	16674921.6875
sp|P30566|PUR8_HUMAN	P30566	PUR8_HUMAN	ADSL	484	Homo sapiens	Adenylosuccinate lyase	1:Experimental evidence at protein level	13.64	1.0000	0.9990	7	7	7	19	19	19	337912832	337912832	337912832	11K(304.2071), 13C(57.0214), 14C(57.0214), 16K(304.2071), 2M(15.9949), 4M(15.9949), 8K(304.2071), 8M(15.9949), N-term(304.2071)			4984562.5625	4806127.0391	6216401.6875	5400421.7715	5563047.6641	5490874.4336	5807546.3359	5856297.3652	4882746.9316	6172672.3086	6944090.6992	8432499.4785	6847338.0723	7318779.3301	7101873.8066	4546382.1152	4216608.7520	4223742.6738
sp|P30613|KPYR_HUMAN	P30613	KPYR_HUMAN	PKLR	574	Homo sapiens	Pyruvate kinase PKLR	1:Experimental evidence at protein level	10.28	1.0000	0.9990	5	3	4	24	5	6	828446212	5856106	828446212	12M(15.9949), 13M(15.9949), 16C(57.0214), 25K(304.2071), N-term(304.2071)			502440.6387	432767.9531	573791.6621	593153.2891	550715.7266	523726.7949	593864.2012	585463.1484	493543.1035	740402.1230	707390.5234	819978.5156	603963.7012	736486.6562	641130.7969	416306.4629	374015.9434	393672.9141
sp|P30622|CLIP1_HUMAN	P30622	CLIP1_HUMAN	CLIP1	1438	Homo sapiens	CAP-Gly domain-containing linker protein 1	1:Experimental evidence at protein level	11.75	1.0000	0.9990	16	14	16	17	14	17	127450708	14254929	127450708	10K(304.2071), 10M(15.9949), 11K(304.2071), 12K(304.2071), 13K(304.2071), 2K(304.2071), 3K(304.2071), 9K(304.2071), N-term(304.2071)			1041478.1523	968216.9473	1259898.7695	1189621.8965	1181434.7461	1173818.8418	1288383.0801	1239747.2988	1097570.3691	1151519.1230	1228799.9727	1513399.9199	1302549.9199	1520001.4805	1395930.8359	1446142.0977	1257659.5322	1338930.9922
sp|P30626|SORCN_HUMAN	P30626	SORCN_HUMAN	SRI	198	Homo sapiens	Sorcin	1:Experimental evidence at protein level	33.33	1.0000	0.9990	7	7	7	16	16	16	96172054	96172054	96172054	11K(304.2071), 12K(304.2071), 19C(57.0214), 1C(57.0214), 2M(15.9949), 5M(15.9949), 6M(15.9949), N-term(304.2071)			1988522.4512	1828163.4277	2407399.6992	2274521.4004	2251680.9219	2176807.7520	2326349.7402	2343706.9609	2005812.9277	2340375.1973	2351697.2539	2874862.8906	2530918.3672	2927423.3203	2641623.4648	3651194.5469	3246032.0312	3344814.0977
sp|P30837|AL1B1_HUMAN	P30837	AL1B1_HUMAN	ALDH1B1	517	Homo sapiens	Aldehyde dehydrogenase X, mitochondrial	1:Experimental evidence at protein level	22.44	1.0000	0.9990	9	7	7	17	14	14	421264970	24374134	421264970	10C(57.0214), 12K(304.2071), 13M(15.9949), 14K(304.2071), 15K(304.2071), 17K(304.2071), 4M(15.9949), N-term(304.2071)			606513.6719	561909.4043	719353.8711	636776.0898	635951.8535	628231.8906	696801.6094	713237.3867	606471.8691	868535.6211	910058.9805	1052475.7305	814856.7266	948739.6289	878956.9648	372029.5703	332336.7910	348293.6035
sp|P30876|RPB2_HUMAN	P30876	RPB2_HUMAN	POLR2B	1174	Homo sapiens	DNA-directed RNA polymerase II subunit RPB2	1:Experimental evidence at protein level	36.63	1.0000	0.9990	43	43	43	87	87	87	268041724	268041724	268041724	10K(304.2071), 11K(304.2071), 11M(15.9949), 12C(57.0214), 12K(304.2071), 13K(304.2071), 15K(304.2071), 17K(304.2071), 1K(304.2071), 20K(304.2071), 22K(304.2071), 2C(57.0214), 2M(15.9949), 3C(57.0214), 3K(304.2071), 3M(15.9949), 4C(57.0214), 5K(304.2071), 6M(15.9949), 7C(57.0214), 7K(304.2071), 7M(15.9949), 8K(304.2071), 8M(15.9949), 9C(57.0214), 9K(304.2071), 9M(15.9949), N-term(304.2071)			17602555.9209	16777810.8418	22083208.6309	19088011.8262	19171990.1309	18960387.3027	20813724.1797	20851864.5547	17713299.3604	20773457.4863	22459076.8750	26630356.5645	20077947.7031	23144086.4590	21380002.6074	10778169.8418	9629672.4775	10120421.0479
sp|P31040|SDHA_HUMAN	P31040	SDHA_HUMAN	SDHA	664	Homo sapiens	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial	1:Experimental evidence at protein level	31.63	1.0000	0.9990	16	16	16	59	59	59	1025154576	1025154576	1025154576	11K(304.2071), 15C(57.0214), 15K(304.2071), 18K(304.2071), 1C(57.0214), 20C(57.0214), 2C(57.0214), 2M(15.9949), 3C(57.0214), 5C(57.0214), 6C(57.0214), 6K(304.2071), 7C(57.0214), 8K(304.2071), 9M(15.9949), N-term(304.2071)			11478641.8086	11086945.7705	14663006.3340	12350142.8789	12582020.9844	12143331.9473	13149254.4688	13223419.2207	11220037.4922	12594475.6641	14275887.0703	17042679.4395	13237781.7168	14607910.0430	13576683.1895	6204362.5029	5773818.6729	5838366.6748
sp|P31146|COR1A_HUMAN	P31146	COR1A_HUMAN	CORO1A	461	Homo sapiens	Coronin-1A	1:Experimental evidence at protein level	9.11	1.0000	0.9990	4	3	3	13	3	3	84079694	5175170	84079694	11K(304.2071), N-term(304.2071)			201320.3164	189047.0820	247712.1094	230188.4062	213695.2227	229977.1562	231117.2031	236075.3047	220401.6484	232717.6250	227375.6484	283168.1641	217220.3438	240670.0156	225246.9141	220643.8164	200070.4258	210279.7695
sp|P31150|GDIA_HUMAN	P31150	GDIA_HUMAN	GDI1	447	Homo sapiens	Rab GDP dissociation inhibitor alpha	1:Experimental evidence at protein level	31.32	1.0000	0.9990	14	6	6	69	24	24	318076624	260292636	318076624	10K(304.2071), 11M(15.9949), 12K(304.2071), 14M(15.9949), 16M(15.9949), 19K(304.2071), 3C(57.0214), 4C(57.0214), 9K(304.2071), N-term(304.2071)			2137671.1885	2052746.4541	2760146.4785	2529012.6836	2483797.8301	2536023.7363	2526551.6816	2517833.3926	2179877.6191	2405422.6133	2584818.8145	3178798.6582	2563554.5801	2852650.1953	2631549.0527	2596578.4805	2329813.3320	2414453.9492
sp|P31153|METK2_HUMAN	P31153	METK2_HUMAN	MAT2A	395	Homo sapiens	S-adenosylmethionine synthase isoform type-2	1:Experimental evidence at protein level	50.63	1.0000	0.9990	18	17	18	73	70	73	2345004032	2072735424	2345004032	10K(304.2071), 12K(304.2071), 13K(304.2071), 15C(57.0214), 19M(15.9949), 1K(304.2071), 21K(304.2071), 2C(57.0214), 3C(57.0214), 3M(15.9949), 7K(304.2071), 8K(304.2071), 8M(15.9949), 9K(304.2071), N-term(304.2071)			38550980.3320	36269633.7383	48546179.9590	39499088.1094	39051890.8984	38582452.2949	46436695.7246	47015017.4102	39113921.5410	42601122.2441	45485301.4824	55768187.7969	42560692.9727	48295974.7598	44628482.0098	30259624.4023	27454027.9043	28349815.5059
sp|P31327|CPSM_HUMAN	P31327	CPSM_HUMAN	CPS1	1500	Homo sapiens	Carbamoyl-phosphate synthase [ammonia], mitochondrial	1:Experimental evidence at protein level	4.80	1.0000	0.9894	7	3	3	16	3	3	570610648	3345039	570610648	11K(304.2071), 12K(304.2071), 21M(15.9949), 26K(304.2071), 8K(304.2071), N-term(304.2071)			118862.4492	114370.9023	156913.7266	135515.9414	130979.9961	121388.8828	134413.2500	133556.4805	117475.5547	135873.7539	161074.9219	207337.9062	145804.2227	160844.5469	155877.2188	101249.3164	103295.0508	106629.1992
sp|P31350|RIR2_HUMAN	P31350	RIR2_HUMAN	RRM2	389	Homo sapiens	Ribonucleoside-diphosphate reductase subunit M2	1:Experimental evidence at protein level	21.08	1.0000	0.9990	8	5	8	16	10	16	218172446	212249731	218172446	10C(57.0214), 10K(304.2071), 12M(15.9949), 14K(304.2071), 1K(304.2071), 3M(15.9949), 4M(15.9949), 6C(57.0214), 9K(304.2071), 9M(15.9949), N-term(304.2071)			2296076.0527	2166386.6328	2831545.8945	2503463.6680	2523104.2637	2486122.9805	2625151.0586	2665641.9414	2258036.6895	2541074.8438	2647264.3652	3159831.0625	2628226.0566	2911782.4219	2770084.0527	1764898.5449	1737759.3359	1776520.1240
sp|P31483|TIA1_HUMAN	P31483	TIA1_HUMAN	TIA1	386	Homo sapiens	Nucleolysin TIA-1 isoform p40	1:Experimental evidence at protein level	22.80	1.0000	0.9990	8	5	5	10	6	6	135552690	71576702	135552690	1K(304.2071), 22K(304.2071), 8K(304.2071), 9M(15.9949), N-term(304.2071)			496194.9414	452022.4609	593243.2578	532918.7188	566884.5703	535460.6016	585037.9844	584411.6484	523538.8203	800697.5625	838582.0859	939649.7344	775162.8203	832045.1406	781001.0000	381007.9648	335234.3125	306980.7969
sp|P31641|SC6A6_HUMAN	P31641	SC6A6_HUMAN	SLC6A6	620	Homo sapiens	Sodium- and chloride-dependent taurine transporter	1:Experimental evidence at protein level	3.87	1.0000	0.9989	3	3	3	3	3	3	23140172	23140172	23140172	2K(304.2071), 4K(304.2071), 5C(57.0214), 7K(304.2071), 8K(304.2071), 9K(304.2071), N-term(304.2071)			1426599.1406	1360229.1172	1710986.8828	1644958.9141	1527546.4141	1580045.6484	1540625.6562	1583899.0859	1388370.8828	1620495.5156	2021685.6875	2274421.0000	1658393.1406	1726117.9062	1653438.8281	632255.5938	579870.7500	625278.5312
sp|P31689|DNJA1_HUMAN	P31689	DNJA1_HUMAN	DNAJA1	397	Homo sapiens	DnaJ homolog subfamily A member 1	1:Experimental evidence at protein level	55.67	1.0000	0.9990	17	17	17	63	63	63	1682237232	1682237232	1682237232	10K(304.2071), 11K(304.2071), 12K(304.2071), 13K(304.2071), 16C(57.0214), 17M(15.9949), 19C(57.0214), 19K(304.2071), 1C(57.0214), 20K(304.2071), 21K(304.2071), 25K(304.2071), 4M(15.9949), 5K(304.2071), 7K(304.2071), 7M(15.9949), 8M(15.9949), 9K(304.2071), N-term(304.2071)			9852056.9248	9791329.5586	12736255.8457	10740250.7012	10701389.8926	10577606.6768	12436216.4668	12344331.4805	10604918.4062	11595899.3320	12342148.1191	15185935.9648	11610963.3848	13508834.5352	12430461.0957	9839218.8594	9074702.7988	9567730.4512
sp|P31749|AKT1_HUMAN	P31749	AKT1_HUMAN	AKT1	480	Homo sapiens	RAC-alpha serine/threonine-protein kinase	1:Experimental evidence at protein level	21.46	1.0000	0.9990	11	6	7	18	8	9	134753555	20342955	134753555	10K(304.2071), 13M(15.9949), 19K(304.2071), 1K(304.2071), 21K(304.2071), 6K(304.2071), 7K(304.2071), 9K(304.2071), N-term(304.2071)			587870.0859	569218.7109	743867.2305	664259.2148	663994.9453	665013.4492	717420.3867	712562.9414	637374.6367	783744.1484	837160.8906	993588.2812	774835.6797	881542.3906	808820.8125	751833.5938	670871.8320	751183.2969
sp|P31751|AKT2_HUMAN	P31751	AKT2_HUMAN	AKT2	481	Homo sapiens	RAC-beta serine/threonine-protein kinase	1:Experimental evidence at protein level	40.33	1.0000	0.9990	20	15	20	42	32	42	237828596	147986918	237828596	10K(304.2071), 13K(304.2071), 13M(15.9949), 19K(304.2071), 1C(57.0214), 1K(304.2071), 21C(57.0214), 24M(15.9949), 25K(304.2071), 4M(15.9949), 5M(15.9949), 6K(304.2071), 7C(57.0214), 7K(304.2071), 8K(304.2071), 9K(304.2071), 9M(15.9949), N-term(304.2071)			5554859.7422	5092295.8242	6740704.7852	6171074.6250	6132333.0684	6039905.9258	6535274.2363	6461694.3555	5656585.5615	6612770.8691	7069729.2715	8314131.9238	6470946.6816	7401098.3496	6871800.8887	4515036.6494	4141582.7773	4395914.8428
sp|P31930|QCR1_HUMAN	P31930	QCR1_HUMAN	UQCRC1	480	Homo sapiens	Cytochrome b-c1 complex subunit 1, mitochondrial	1:Experimental evidence at protein level	17.50	1.0000	0.9990	8	7	7	14	13	13	694791840	548185216	694791840	14C(57.0214), 14K(304.2071), 20K(304.2071), N-term(304.2071)			11506096.1484	11087933.8516	14513750.9375	13126236.8047	12999259.9609	12850726.5859	14134557.3047	13872636.9297	11619325.0938	13935008.2734	14908122.7188	18617382.7969	12281415.4453	14032517.1719	13266356.1250	5270951.3750	4733673.6875	5191568.1406
sp|P31937|3HIDH_HUMAN	P31937	3HIDH_HUMAN	HIBADH	336	Homo sapiens	3-hydroxyisobutyrate dehydrogenase, mitochondrial	1:Experimental evidence at protein level	23.51	1.0000	0.9990	5	5	5	24	24	24	144692292	144692292	144692292	11M(15.9949), 13K(304.2071), 15M(15.9949), 17K(304.2071), 2C(57.0214), 4M(15.9949), 6M(15.9949), N-term(304.2071)			914159.5010	813176.6309	1092903.4590	995185.9961	1012182.1191	975229.6562	1079803.5723	1029739.7373	926502.1660	1124505.5781	1261990.7812	1451526.7344	1194475.1660	1287799.5801	1187870.7988	714523.1611	694666.5957	652589.2100
sp|P31939|PUR9_HUMAN	P31939	PUR9_HUMAN	ATIC	592	Homo sapiens	Bifunctional purine biosynthesis protein PURH	1:Experimental evidence at protein level	16.22	1.0000	0.9990	10	10	10	35	35	35	715818160	715818160	715818160	11K(304.2071), 11M(15.9949), 12K(304.2071), 7K(304.2071), 8C(57.0214), 8K(304.2071), N-term(304.2071)			8984504.8047	8570148.9727	10860286.7539	10061148.8594	9956446.0117	10000935.8867	10827320.5996	10938172.4180	9083394.9062	13045350.6133	13916105.6211	16038847.1680	9915293.9395	13347409.8438	11837329.8281	7597237.2930	7148817.6416	7131837.5430
sp|P31942|HNRH3_HUMAN	P31942	HNRH3_HUMAN	HNRNPH3	346	Homo sapiens	Heterogeneous nuclear ribonucleoprotein H3	1:Experimental evidence at protein level	32.95	1.0000	0.9990	11	10	10	35	32	32	749465240	477510392	749465240	12K(304.2071), 19M(15.9949), 21K(304.2071), 2K(304.2071), 3M(15.9949), 5M(15.9949), 9K(304.2071), N-term(304.2071)			4717617.2900	4262774.6650	5699815.3789	5307221.0176	5417801.6699	5216766.6992	5543213.0645	5617170.2734	4627351.6387	5453270.7520	5785316.8203	6972045.2617	5456474.0293	6139791.2910	5716777.0801	4431163.6904	3904194.5410	4046301.9570
sp|P31943|HNRH1_HUMAN	P31943	HNRH1_HUMAN	HNRNPH1	449	Homo sapiens	Heterogeneous nuclear ribonucleoprotein H	1:Experimental evidence at protein level	45.66	1.0000	0.9990	18	8	17	106	65	97	4153706496	542242504	4153706496	11K(304.2071), 14K(304.2071), 15C(57.0214), 16K(304.2071), 17K(304.2071), 18M(15.9949), 19K(304.2071), 19M(15.9949), 21K(304.2071), 2K(304.2071), 5C(57.0214), 5M(15.9949), 6C(57.0214), 6M(15.9949), 8K(304.2071), 9M(15.9949), N-term(304.2071), N-term(42.0106)			16248217.3125	15782255.6562	20651128.7715	18141599.2480	18412267.9814	18009645.0508	19073227.8066	19503324.8887	16007474.5391	20552527.0625	22510191.2676	27823769.0391	20987211.6465	23683518.9570	21746804.4316	16655662.7109	15708509.4590	16291043.6982
sp|P31946|1433B_HUMAN	P31946	1433B_HUMAN	YWHAB	246	Homo sapiens	14-3-3 protein beta/alpha	1:Experimental evidence at protein level	44.31	1.0000	0.9990	13	4	4	175	13	13	12227854848	286485455	12227854848	11K(304.2071), 19K(304.2071), 20K(304.2071), 3M(15.9949), 5K(304.2071), N-term(304.2071), N-term(42.0106)			1192461.5234	1184049.3789	1548105.9922	1378549.4961	1370680.9297	1337474.9844	1460584.4141	1562215.8242	1287438.5156	1504051.1367	1660767.1641	1990487.8672	1480025.3945	1692565.9531	1564315.8867	1298885.8164	1094213.7070	1205177.6602
sp|P31947|1433S_HUMAN	P31947	1433S_HUMAN	SFN	248	Homo sapiens	14-3-3 protein sigma	1:Experimental evidence at protein level	50.81	1.0000	0.9990	16	11	11	120	44	44	11861129216	684206400	11861129216	11K(304.2071), 12K(304.2071), 19K(304.2071), 1K(304.2071), 2M(15.9949), 3M(15.9949), 4M(15.9949), 6C(57.0214), 7M(15.9949), 8M(15.9949), 9K(304.2071), N-term(304.2071)			10256944.2207	9358248.6367	12388550.1172	11333237.1035	11210990.7930	10847992.8047	11955595.0586	11832985.8086	10070687.1191	12840116.3789	13490850.1094	16110886.0000	13851992.7578	16061278.0898	14763866.5547	14401231.4688	12451667.5586	13385635.6406
sp|P31948|STIP1_HUMAN	P31948	STIP1_HUMAN	STIP1	543	Homo sapiens	Stress-induced-phosphoprotein 1	1:Experimental evidence at protein level	51.93	1.0000	0.9990	43	43	43	248	248	248	2876711040	2876711040	2876711040	10K(304.2071), 11M(15.9949), 13K(304.2071), 14K(304.2071), 16K(304.2071), 16M(15.9949), 17K(304.2071), 18K(304.2071), 1C(57.0214), 1K(304.2071), 25K(304.2071), 2C(57.0214), 2K(304.2071), 2M(15.9949), 3M(15.9949), 4C(57.0214), 5C(57.0214), 5K(304.2071), 6C(57.0214), 6K(304.2071), 6M(15.9949), 7K(304.2071), 7M(15.9949), 8C(57.0214), 8K(304.2071), 8M(15.9949), 9K(304.2071), N-term(304.2071), N-term(42.0106)			70533961.4512	66701578.4326	85199452.2588	80986430.8340	80960320.0703	79140342.8906	83933168.2568	84559428.5410	70807912.0273	89155906.5068	94122221.3965	114494152.2520	78481893.6514	91081268.4336	82389102.4941	45332273.2539	40072269.1318	41785248.2471
sp|P31949|S10AB_HUMAN	P31949	S10AB_HUMAN	S100A11	105	Homo sapiens	Protein S100-A11	1:Experimental evidence at protein level	17.14	1.0000	0.9990	2	2	2	4	4	4	334530092	334530092	334530092	11K(304.2071), 1C(57.0214), N-term(304.2071)			6569069.6875	6244067.2656	8433440.5156	7857414.0625	7510387.8906	7616536.5938	8255643.1406	8181485.1719	7067956.0000	8434446.9062	8830651.3906	10607049.5312	7833201.6094	9319231.5469	8227454.1406	6076399.5156	5567729.0000	6273569.8281
sp|P32019|I5P2_HUMAN	P32019	I5P2_HUMAN	INPP5B	993	Homo sapiens	Type II inositol 1,4,5-trisphosphate 5-phosphatase	1:Experimental evidence at protein level	6.95	1.0000	0.9990	5	5	5	6	6	6	20004046	20004046	20004046	10K(304.2071), 11M(15.9949), 14K(304.2071), 20M(15.9949), 5K(304.2071), N-term(304.2071)			265556.3574	256488.0576	323219.4727	294592.2285	313671.9629	289987.4863	340141.2812	352300.1875	279675.4238	341519.9492	385118.0801	436311.0488	346578.0371	361748.2168	339207.0625	268762.0850	220317.4180	244117.8184
sp|P32121|ARRB2_HUMAN	P32121	ARRB2_HUMAN	ARRB2	409	Homo sapiens	Beta-arrestin-2	1:Experimental evidence at protein level	21.52	1.0000	0.9990	9	8	9	15	14	15	56361811	56361811	56361811	10K(304.2071), 13K(304.2071), 13M(15.9949), 16K(304.2071), 2C(57.0214), 4M(15.9949), 7K(304.2071), N-term(304.2071)			1971336.4219	1774024.9336	2383353.9297	2372285.7246	2351835.7168	2281126.8516	2344368.7109	2335116.9492	1981862.3965	2475749.1387	2582848.4473	3065709.0977	2400416.5801	2724209.0879	2484198.8047	1822852.9609	1590831.6191	1703528.1084
sp|P32189|GLPK_HUMAN	P32189	GLPK_HUMAN	GK	559	Homo sapiens	Glycerol kinase	1:Experimental evidence at protein level	25.58	1.0000	0.9990	12	1	12	15	1	15	33310579	9184162	33310579	10K(304.2071), 12K(304.2071), 13K(304.2071), 15M(15.9949), 19K(304.2071), 2C(57.0214), 4C(57.0214), 7K(304.2071), 8K(304.2071), 9K(304.2071), 9M(15.9949), N-term(304.2071)			1327842.1523	1231917.1699	1684538.4609	1533360.8984	1531367.5762	1502213.7012	1609868.1680	1601007.9336	1349808.4473	1753503.3398	1977356.2305	2264521.7812	1564730.1914	1702491.3926	1649698.3672	1146860.2812	987532.9580	1011731.5156
sp|P32321|DCTD_HUMAN	P32321	DCTD_HUMAN	DCTD	178	Homo sapiens	Deoxycytidylate deaminase	1:Experimental evidence at protein level	23.60	1.0000	0.9990	4	4	4	8	8	8	28346966	28346966	28346966	13M(15.9949), 15K(304.2071), 5C(57.0214), 5M(15.9949), 8K(304.2071), N-term(304.2071)			1046969.3242	976648.9805	1310500.1211	1258989.4453	1225446.0508	1215258.3789	1265506.4883	1276098.4883	1099424.3945	1399557.3984	1435990.4766	1603563.5234	1295564.0000	1469221.8281	1335002.4375	791019.4336	692779.0000	704760.8984
sp|P32322|P5CR1_HUMAN	P32322	P5CR1_HUMAN	PYCR1	319	Homo sapiens	Pyrroline-5-carboxylate reductase 1, mitochondrial	1:Experimental evidence at protein level	25.08	1.0000	0.9990	6	5	6	31	28	31	217846816	200146608	217846816	11C(57.0214), 11K(304.2071), 12K(304.2071), 17K(304.2071), 1C(57.0214), 1C(57.0214), 2M(15.9949), 5M(15.9949), 8M(15.9949), N-term(304.2071)			2247065.6719	2136431.3730	2768409.9863	2457049.5781	2476478.9141	2385903.8086	2517356.1074	2586973.7695	2221488.5469	2354931.1777	2611366.1660	3045840.5527	1981602.6230	2161377.9473	1989500.2646	850168.5547	729496.8232	738055.3384
sp|P32780|TF2H1_HUMAN	P32780	TF2H1_HUMAN	GTF2H1	548	Homo sapiens	General transcription factor IIH subunit 1	1:Experimental evidence at protein level	23.18	1.0000	0.9990	13	13	13	21	21	21	56366905	56366905	56366905	11K(304.2071), 20C(57.0214), 2M(15.9949), 3M(15.9949), 6C(57.0214), 6M(15.9949), 7K(304.2071), 7M(15.9949), 8K(304.2071), 8M(15.9949), 9K(304.2071), N-term(304.2071)			3627198.5664	3432519.2070	4479148.1445	4067803.6426	4088019.1543	4008478.8711	4398157.0410	4392897.7305	3763823.3984	4762407.4688	4992828.6250	6095911.8594	4573076.1523	5164074.5898	4795904.9609	2596158.9707	2346079.3633	2397453.4941
sp|P32856|STX2_HUMAN	P32856	STX2_HUMAN	STX2	288	Homo sapiens	Syntaxin-2	1:Experimental evidence at protein level	6.94	1.0000	0.9990	2	2	2	2	2	2	7327548	7327548	7327548	10K(304.2071), 2K(304.2071), 9C(57.0214), N-term(304.2071)			316817.9375	308063.8438	399154.4219	362487.5000	356992.9609	354612.5234	392955.4688	368586.8125	330679.0469	379049.4922	433967.7734	535751.2891	458219.5000	492070.1094	453567.3516	408187.8672	381174.7344	415424.6172
sp|P32929|CGL_HUMAN	P32929	CGL_HUMAN	CTH	405	Homo sapiens	Cystathionine gamma-lyase	1:Experimental evidence at protein level	11.11	1.0000	0.9990	4	4	4	12	12	12	677939600	677939600	677939600	11K(304.2071), 6C(57.0214), 7C(57.0214), 8K(304.2071), 8M(15.9949), 9K(304.2071), N-term(304.2071)			4898433.4258	4542388.4180	5879788.2852	5439321.1641	5775318.3926	5387536.9473	5885552.2148	5742178.8438	4828772.4082	5080750.8867	5291022.0039	6300559.7754	5623786.8828	6369456.7109	6032362.2188	6317066.1523	5855459.4102	5683065.9688
sp|P32969|RL9_HUMAN	P32969	RL9_HUMAN	RPL9	192	Homo sapiens	60S ribosomal protein L9	1:Experimental evidence at protein level	30.73	1.0000	0.9990	8	8	8	34	34	34	1355871712	1355871712	1355871712	10K(304.2071), 11K(304.2071), 14K(304.2071), 15K(304.2071), 1K(304.2071), 3C(57.0214), 5K(304.2071), 9M(15.9949), N-term(304.2071)			21769914.0859	20998575.0547	27625284.2402	25011616.2070	24437865.1270	24629363.3086	25663477.2148	25742977.6836	22481201.6934	26145399.3418	27577635.5156	34884696.6797	24233683.4961	27378005.1191	25431287.7676	19944490.9609	18554176.2754	20130783.5996
sp|P33121|ACSL1_HUMAN	P33121	ACSL1_HUMAN	ACSL1	698	Homo sapiens	Long-chain-fatty-acid--CoA ligase 1	1:Experimental evidence at protein level	8.31	1.0000	0.9990	6	4	6	9	6	9	66148834	51619651	66148834	10C(57.0214), 11K(304.2071), 3M(15.9949), 7K(304.2071), 8K(304.2071), 9K(304.2071), N-term(304.2071)			2022158.0156	1850014.8672	2437577.3008	2260409.7383	2183749.3867	2209971.3750	2277369.6953	2236243.7461	1935170.6367	2247887.5312	2403255.6836	2899416.4375	1896812.3320	2169756.6172	2012800.7344	1326663.9805	1161737.6055	1269687.1641
